copium,ground_density,moist,reflectivity,silicon_rate,oxygen_rate,iron_rate,aluminium_rate,magnesium_rate,undetectable
0,0.7395987941509155,0.10734122215674334,0.49068857055249726,0.02087743838326992,0.04323898791319628,0.6334672253803365,0.23285108181657607,0.03995554595421959,0.029609720552401603
0,1.8430446279150972,0.24138936575668737,0.5694178389359904,0.12020480976563476,0.018468294661968303,0.6530939835962857,0.09632683875470605,0.06549493371408928,0.046411139507315874
0,0.4,0.13117158881171836,0.30114885737821667,0.04771779965411988,0.06896335045117984,0.588818282027305,0.16904410628502453,0.07605618834533626,0.049400273237034574
0,1.4399748582481786,0.18839737019993236,0.12554958504483826,0.139022003054279,0.03234534254702002,0.4874090781947215,0.2380318976091983,0.06702938790329087,0.03616229069149017
0,0.4,0.22484798209488246,0.4933064889490384,0.1815876467230767,0.0005020082978836157,0.41530939060051525,0.23258883906107658,0.13095513207349255,0.03905698324395526
0,0.6967920344945633,0.28669235519369585,0.3160396115494987,0.22205734890920634,0.06516957927461448,0.2434958750337728,0.2936944784512132,0.11120125190771595,0.06438146642347714
0,0.8142276439829083,0.09483754316494901,0.47303940371346676,0.11988783079291909,0.00443215805741373,0.33965669677736804,0.34350799722436043,0.13817263592002266,0.05434268122791607
0,1.1799683746023009,0.2145707181944041,0.3901146152501251,0.1510985457379526,0.04705121786315311,0.42093973636102755,0.27075973139276616,0.08635412924396864,0.023796639401131955
0,1.2988649242334813,0.08338810322835226,0.03485183514949812,0.06365957570219506,0.0452896271727759,0.31264482432124385,0.39712352526787065,0.14584595629772076,0.03543649123819384
0,1.5233850753410083,0.2277942708546393,0.28557305347800344,0.09906266181247736,0.030297028240473752,0.5066776337973788,0.25817658094134754,0.09712656618833143,0.008659529019991076
0,1.5174182862244856,0.04243130204730037,0.15149898536490608,0.11795524892584676,0.034375258888368496,0.36749848546268127,0.36833130387075846,0.09950627345388934,0.012333429398455883
1,0.44112353299025875,0.28890650401955187,0.33454717710425164,0.023205290278458548,0.07277537509460122,0.4046491481610111,0.3247062043743646,0.10568425626280124,0.06897972582876327
0,0.6605436330312682,0.09855006081579057,0.27539561052308137,0.0681295561888329,0.007174357515832896,0.608677875841453,0.0983213515418888,0.13961004612318215,0.07808681278881012
0,0.4108061289896815,0.048307091338088845,0.2792662200032272,0.2086388437351815,0.01686498264434532,0.2983089145621435,0.18990858640501435,0.23038877442025085,0.05588989823306444
0,1.491708432851691,0.2664530978618399,0.42196523258378615,0.036837375740174254,0.07178580950670246,0.5419207005314853,0.23285925519956702,0.10241980295800465,0.014177056064066204
0,0.8414890258611449,0.15421671750147434,0.14792955407863598,0.17141307065127215,0.02737129776049843,0.4139429036745801,0.14697450489216718,0.21459474028734798,0.0257034827341341
0,1.189744258792787,0.19966072075846136,0.32473678744506146,0.0803129787998143,0.061253701578749965,0.5812103167634194,0.09213016282886068,0.12667566123400484,0.05841717879515089
0,1.6616176628335113,0.16255627925157035,0.4324630589780582,0.03781961947064064,0.0399086193914502,0.3904202705837517,0.3544165665333346,0.1499033384171209,0.027531585603701884
